value,pos
28.6943,1304
28.70833,1305
28.71635,1306
28.72327,1307
28.72383,1308
28.75,1309
28.77337,1310
28.78231,1311
28.78468,1312
28.79412,1313
28.79587,1314
28.79667,1315
28.79675,1316
28.80568,1317
28.81153,1318
28.85434,1319
28.85528,1320
28.87445,1321
28.87732,1322
28.88667,1323
28.89044,1324
28.89044,1325
28.91014,1326
28.91179,1327
28.93224,1328
28.94223,1329
28.94911,1330
28.95512,1331
28.95512,1332
28.96563,1333
28.98592,1334
29.00291,1335
29.00319,1336
29.00469,1337
29.0071,1338
29.00747,1339
29.01009,1340
29.01042,1341
29.01222,1342
29.0264,1343
29.0387,1344
29.0426,1345
29.0426,1346
29.09578,1347
29.10789,1348
29.11003,1349
29.1281,1350
29.13073,1351
29.13073,1352
29.13375,1353
29.13423,1354
29.13423,1355
29.14132,1356
29.14435,1357
29.15536,1358
29.15536,1359
29.16314,1360
29.16667,1361
29.16667,1362
29.23378,1363
29.23869,1364
29.23869,1365
29.23915,1366
29.23959,1367
29.2549,1368
29.25611,1369
29.28302,1370
29.29413,1371
29.3052,1372
29.30687,1373
29.31237,1374
29.32058,1375
29.33228,1376
29.33633,1377
29.34065,1378
29.35531,1379
29.36255,1380
29.38908,1381
29.38908,1382
29.38908,1383
29.39155,1384
29.42092,1385
29.42092,1386
29.42523,1387
29.42678,1388
29.43048,1389
29.43311,1390
29.4339,1391
29.44615,1392
29.4726,1393
29.47914,1394
29.49155,1395
29.49281,1396
29.50401,1397
29.50785,1398
29.51496,1399
29.51745,1400
29.5302,1401
29.55327,1402
29.55409,1403
29.55429,1404
29.56946,1405
29.57461,1406
29.57695,1407
29.61639,1408
29.62549,1409
29.62681,1410
29.64226,1411
29.65824,1412
29.65834,1413
29.65996,1414
29.66667,1415
29.66667,1416
29.67243,1417
29.67546,1418
29.67588,1419
29.68223,1420
29.6929,1421
29.69864,1422
29.70146,1423
29.70848,1424
29.73225,1425
29.73309,1426
29.75,1427
29.77624,1428
29.77671,1429
29.77949,1430
29.79241,1431
29.79313,1432
29.7979,1433
29.80006,1434
29.80301,1435
29.81362,1436
29.81612,1437
29.81673,1438
29.82809,1439
29.84057,1440
29.84413,1441
29.8513,1442
29.85238,1443
29.86817,1444
29.88671,1445
29.90736,1446
29.92745,1447
29.94551,1448
29.94993,1449
29.95559,1450
29.96435,1451
29.9669,1452
29.97883,1453
29.98671,1454
29.99736,1455
29.99765,1456
30.0198,1457
30.04242,1458
30.05431,1459
30.07651,1460
30.08291,1461
30.09811,1462
30.10084,1463
30.10363,1464
30.1125,1465
30.11734,1466
30.13211,1467
30.13805,1468
30.15169,1469
30.15837,1470
30.15837,1471
30.16536,1472
30.18773,1473
30.18942,1474
30.1936,1475
30.1936,1476
30.20145,1477
30.20145,1478
30.20145,1479
30.203,1480
30.20902,1481
30.21652,1482
30.23587,1483
30.23715,1484
30.2602,1485
30.26194,1486
30.26624,1487
30.26938,1488
30.26995,1489
30.2789,1490
30.29271,1491
30.30099,1492
30.31985,1493
30.33175,1494
30.33333,1495
30.33333,1496
30.33614,1497
30.3491,1498
30.39239,1499
30.39934,1500
30.40536,1501
30.42257,1502
30.4249,1503
30.44091,1504
30.4432,1505
30.45453,1506
30.45457,1507
30.46742,1508
30.47335,1509
30.47819,1510
30.48067,1511
30.50764,1512
30.50851,1513
30.50851,1514
30.50851,1515
30.51596,1516
30.52856,1517
30.56871,1518
30.57441,1519
30.58224,1520
30.62505,1521
30.62505,1522
30.62505,1523
30.63106,1524
30.64634,1525
30.65266,1526
30.65285,1527
30.66949,1528
30.69337,1529
30.70043,1530
30.7286,1531
30.73869,1532
30.7387,1533
30.76145,1534
30.79797,1535
30.81298,1536
30.83333,1537
30.83854,1538
30.84635,1539
30.84869,1540
30.87553,1541
30.8869,1542
30.91642,1543
30.9261,1544
30.9386,1545
30.9413,1546
30.95924,1547
30.97232,1548
30.99866,1549
31.00993,1550
31.01839,1551
31.02477,1552
31.04582,1553
31.08325,1554
31.09988,1555
31.10827,1556
31.12497,1557
31.12497,1558
31.14144,1559
31.14144,1560
31.14144,1561
31.16082,1562
31.16481,1563
31.16637,1564
31.16667,1565
31.17176,1566
31.17433,1567
31.20353,1568
31.20946,1569
31.20996,1570
31.23238,1571
31.23238,1572
31.23405,1573
31.23885,1574
31.25564,1575
31.27557,1576
